sampleCount, trigNum, sensorReadTime, ax, ay, az, gx, gy, gz, mx, my, mz 
290,0000,26413,-0.26,0.54,-9.77,-0.01,1.43,-0.04,7.61,8.78,23.38
291,0000,26434,-0.27,0.55,-9.79,-0.10,1.56,-0.15,7.69,8.59,23.47
292,0000,26455,-0.29,0.54,-9.84,0.35,1.45,-0.12,7.41,8.92,23.55
293,0000,26476,-0.23,0.53,-9.79,0.30,1.41,-0.34,7.95,8.94,23.66
294,0000,26497,-0.28,0.55,-9.77,0.24,1.53,-0.02,7.53,8.46,23.50
295,0000,26518,-0.28,0.57,-9.82,0.23,1.42,-0.05,7.47,8.51,22.92
296,0000,26539,-0.31,0.54,-9.84,-0.17,1.43,-0.12,7.69,9.02,22.62
297,0000,26560,-0.24,0.55,-9.78,0.21,1.57,0.05,8.10,8.37,22.99
298,0000,26581,-0.34,0.54,-9.83,-0.26,1.55,-0.15,7.63,8.45,23.90
299,0000,26602,-0.33,0.53,-9.84,0.35,1.64,-0.02,7.61,8.49,23.85
300,0000,26623,-0.31,0.52,-9.84,-0.11,1.28,-0.24,7.29,8.65,23.81
301,0000,26644,-0.26,0.55,-9.78,0.21,1.39,-0.12,7.34,8.42,23.55
302,0000,26665,-0.32,0.54,-9.83,0.03,1.48,-0.21,7.94,8.42,24.10
303,0000,26686,-0.26,0.53,-9.79,0.07,1.56,-0.06,8.11,8.64,23.56
304,0000,26707,-0.24,0.55,-9.93,0.17,1.43,-0.05,8.01,8.40,23.21
305,0000,26728,-0.30,0.54,-9.84,0.11,1.50,0.04,7.85,8.54,23.85
306,0000,26749,-0.26,0.55,-9.79,0.38,1.37,0.15,7.72,8.42,23.21
307,0000,26770,-0.29,0.54,-9.84,0.15,1.50,-0.11,7.88,8.54,23.44
308,0000,26791,-0.24,0.55,-9.78,-0.10,1.43,-0.09,7.88,8.62,23.34
309,0000,26812,-0.27,0.56,-9.78,0.02,1.40,-0.37,7.73,8.29,23.15
310,0000,26833,-0.32,0.57,-9.84,0.10,1.13,-0.13,7.72,8.78,22.57
311,0000,26854,-0.25,0.53,-9.79,0.24,1.57,-0.05,7.78,8.74,23.71
312,0000,26875,-0.31,0.53,-9.84,-0.01,1.29,-0.18,7.48,8.70,24.33
313,0000,26896,-0.24,0.54,-9.79,0.43,1.36,-0.02,7.80,8.43,24.16
314,0000,26917,-0.43,0.56,-9.80,0.23,1.48,-0.13,7.54,8.65,24.22
315,0000,26938,-0.28,0.54,-9.83,0.08,1.43,-0.34,7.66,8.51,23.91
316,0000,26959,-0.31,0.54,-9.81,0.17,1.47,0.10,7.89,8.43,23.76
317,0000,26982,-0.30,0.54,-9.81,0.03,1.47,-0.06,8.14,8.46,23.78
318,0000,27003,-0.31,0.57,-9.82,0.23,1.43,-0.10,7.82,8.78,23.82
319,0000,27024,-0.32,0.52,-9.82,0.17,1.48,-0.04,7.37,8.86,22.98
320,0000,27045,-0.27,0.54,-9.78,0.07,1.19,-0.17,7.53,8.08,22.71
321,0000,27066,-0.29,0.54,-9.79,0.23,1.43,-0.04,8.14,8.67,23.31
322,0000,27087,-0.28,0.54,-9.80,-0.02,1.56,-0.12,7.44,9.51,24.38
323,0000,27108,-0.26,0.56,-9.82,0.03,1.32,-0.10,7.42,9.09,24.64
324,0000,27129,-0.24,0.51,-9.81,0.35,1.56,-0.07,7.76,8.33,23.44
325,0000,27150,-0.33,0.53,-9.80,-0.03,1.62,-0.20,7.41,8.59,24.29
326,0000,27171,-0.31,0.56,-9.82,0.10,1.59,-0.02,7.32,8.99,24.66
327,0000,27192,-0.30,0.54,-9.81,0.36,1.47,-0.24,7.88,8.40,24.16
328,0000,27213,-0.29,0.55,-9.83,0.06,1.39,-0.15,8.01,8.51,23.22
329,0000,27234,-0.29,0.53,-9.83,-0.09,1.43,-0.08,7.12,8.99,24.16
330,0000,27255,-0.29,0.53,-9.82,-0.03,1.35,-0.20,7.44,8.13,24.25
331,0000,27276,-0.27,0.57,-9.77,0.41,1.60,0.04,7.79,8.37,23.76
332,0000,27297,-0.31,0.57,-9.81,0.11,1.30,-0.25,8.11,8.67,23.25
333,0000,27318,-0.28,0.50,-9.80,0.14,1.39,-0.16,7.50,8.70,23.36
334,0000,27339,-0.27,0.53,-9.79,0.00,1.63,-0.20,7.42,8.70,23.81
335,0000,27360,-0.31,0.54,-9.80,0.05,1.46,-0.29,7.47,8.02,24.09
336,0000,27381,-0.29,0.53,-9.79,0.18,1.54,0.01,7.60,8.23,22.86
337,0000,27402,-0.30,0.55,-9.82,0.31,1.37,-0.07,7.67,8.36,22.51
338,0000,27423,-0.27,0.55,-9.78,0.34,1.43,-0.24,7.53,8.14,23.49
339,0000,27444,-0.32,0.55,-9.82,0.05,1.43,0.11,7.64,7.79,23.93
340,0000,27465,-0.27,0.52,-9.81,0.18,1.76,-0.17,7.80,7.92,23.81
341,0000,27486,-0.31,0.54,-9.81,0.07,1.53,-0.15,7.64,8.17,23.03
342,0000,27507,-0.30,0.53,-9.77,0.30,1.48,-0.30,7.18,7.99,23.66
343,0000,27528,-0.27,0.55,-9.76,0.02,1.37,-0.14,7.83,7.79,22.84
344,0000,27549,-0.30,0.54,-9.83,-0.08,1.41,-0.34,7.29,8.55,23.44
345,0000,27570,-0.28,0.54,-9.92,0.02,1.41,0.03,7.12,8.42,23.22
346,0000,27591,-0.33,0.55,-9.96,0.82,0.53,-0.17,7.40,8.13,23.71
347,0000,27612,-0.29,0.55,-9.86,1.06,0.34,-0.12,7.73,8.48,23.05
348,0000,27633,-0.31,0.55,-9.90,1.92,-0.32,-0.10,7.66,8.14,23.21
349,0000,27654,-0.36,0.53,-9.73,2.03,-0.37,-0.26,7.40,8.93,24.07
350,0000,27675,-0.34,0.53,-9.71,0.77,0.10,-0.21,7.53,8.17,23.55
351,0000,27696,-0.22,0.53,-9.71,0.83,0.59,-0.12,7.60,8.46,23.05
352,0000,27717,-0.10,0.59,-9.68,0.24,0.93,-0.22,7.44,9.12,23.38
353,0000,27738,-0.19,0.58,-9.74,0.70,1.22,-0.27,7.35,8.61,23.56
354,0000,27759,-0.26,0.56,-9.75,-0.33,1.44,-0.17,7.15,8.18,24.33
355,0000,27780,-0.26,0.54,-9.79,0.00,1.71,-0.05,7.16,8.21,23.68
356,0000,27801,-0.31,0.55,-9.84,0.00,1.54,-0.10,7.70,8.65,22.77
357,0000,27822,-0.32,0.57,-9.83,-0.21,1.35,-0.24,7.64,8.02,23.00
358,0000,27843,-0.30,0.53,-9.88,0.45,1.39,-0.24,7.47,8.32,22.93
359,0000,27864,-0.32,0.57,-9.83,0.19,1.42,-0.18,7.12,8.54,22.86
360,0000,27885,-0.21,0.59,-9.81,0.40,1.12,-0.16,7.18,8.33,23.28
361,0000,27906,-0.22,0.59,-9.83,0.45,1.50,-0.10,7.54,8.39,23.66
362,0000,27927,-0.19,0.58,-9.77,0.00,1.58,-0.09,7.44,8.43,23.27
363,0000,27948,-0.21,0.57,-9.79,0.14,1.55,-0.13,7.47,8.20,23.21
364,0000,27969,-0.29,0.55,-9.81,-0.01,1.43,-0.10,7.75,8.99,23.68
365,0000,27990,-0.29,0.55,-9.84,0.13,1.57,-0.12,7.69,8.68,23.36
366,0000,28011,-0.34,0.54,-9.88,0.00,1.56,-0.20,7.42,8.36,23.02
367,0000,28032,-0.29,0.51,-9.80,0.38,1.33,-0.11,7.60,8.37,23.50
368,0000,28053,-0.25,0.58,-9.81,0.19,1.20,-0.16,7.19,8.70,23.27
369,0000,28074,-0.21,0.62,-9.77,0.17,1.28,-0.05,7.54,9.35,22.90
370,0000,28095,-0.20,0.58,-9.78,-0.11,1.43,-0.30,7.16,8.24,23.90
371,0000,28116,-0.27,0.54,-9.78,-0.08,1.48,-0.03,7.63,8.67,22.41
372,0000,28137,-0.28,0.55,-9.88,0.38,1.52,-0.07,7.56,8.39,22.61
373,0000,28158,-0.29,0.55,-9.79,0.05,1.43,-0.09,7.37,7.63,22.79
374,0000,28179,-0.31,0.58,-9.83,0.41,1.50,-0.19,7.60,8.24,22.84
375,0000,28200,-0.28,0.55,-9.82,-0.13,1.28,-0.04,7.42,8.46,22.48
376,0000,28221,-0.29,0.56,-9.65,0.49,1.48,-0.13,7.10,8.36,22.43
377,0000,28242,-0.21,0.56,-9.78,0.18,1.30,0.11,6.62,8.49,22.76
378,0000,28263,-0.20,0.56,-9.78,0.13,1.29,-0.18,6.96,8.52,22.64
379,0000,28286,-0.26,0.55,-9.78,0.12,1.49,-0.23,7.59,9.08,23.84
380,0000,28307,-0.27,0.58,-9.81,0.16,1.54,-0.14,7.02,8.46,23.52
381,0000,28328,-0.31,0.58,-9.79,0.16,1.41,-0.24,7.67,8.33,23.56
382,0000,28349,-0.24,0.53,-9.84,-0.01,1.36,-0.11,7.19,8.30,23.27
383,0000,28370,-0.29,0.53,-9.84,0.24,1.36,-0.36,7.48,8.36,23.18
384,0000,28391,-0.26,0.57,-9.82,0.42,1.34,0.03,7.50,8.36,23.62
385,0000,28412,-0.24,0.58,-9.78,0.16,1.40,-0.29,7.15,8.40,24.09
386,0000,28433,-0.22,0.60,-9.82,0.15,1.41,-0.21,7.44,8.43,22.76
387,0000,28454,-0.25,0.57,-9.80,0.37,1.53,-0.07,7.38,8.58,22.93
388,0000,28475,-0.28,0.55,-9.82,0.10,1.48,-0.30,7.88,8.39,24.06
389,0000,28496,-0.29,0.55,-9.85,0.35,1.50,-0.12,7.45,8.16,23.52
390,0000,28517,-0.26,0.56,-9.81,0.01,1.43,-0.31,7.34,8.48,23.15
391,0000,28538,-0.31,0.58,-9.83,0.25,1.33,-0.17,7.28,8.16,23.74
392,0000,28559,-0.23,0.56,-9.78,0.13,1.47,-0.07,7.72,8.04,24.12
393,0000,28580,-0.20,0.56,-9.79,0.62,1.67,-0.06,7.47,8.04,22.89
394,0000,28601,-0.26,0.56,-9.82,0.43,1.38,-0.01,7.54,8.18,22.60
395,0000,28622,-0.26,0.56,-9.79,0.28,1.61,-0.06,7.86,8.39,23.08
396,0000,28643,-0.28,0.58,-9.82,0.21,1.43,-0.15,7.26,8.21,23.74
397,0000,28664,-0.25,0.56,-9.80,0.00,1.41,-0.32,7.04,7.88,23.17
398,0000,28685,-0.25,0.58,-9.78,0.28,1.50,-0.20,7.75,7.82,23.11
399,0000,28706,-0.29,0.56,-9.81,0.21,1.37,-0.22,7.34,8.11,23.21
400,0000,28727,-0.28,0.54,-9.83,0.32,1.24,-0.19,7.42,8.04,23.34
401,0000,28748,-0.27,0.56,-9.76,0.38,1.16,-0.14,7.51,8.13,22.29
402,0000,28769,-0.23,0.58,-9.80,0.33,1.67,-0.06,7.45,8.43,22.39
403,0000,28790,-0.23,0.57,-9.76,0.22,1.54,-0.13,7.13,8.68,22.54
404,0000,28811,-0.27,0.60,-9.81,0.13,1.71,-0.24,7.45,8.45,22.68
405,0000,28832,-0.29,0.56,-9.82,0.24,1.45,-0.10,7.80,8.59,23.63
406,0000,28853,-0.26,0.57,-9.80,0.38,1.32,-0.04,7.47,9.09,23.50
407,0000,28874,-0.30,0.56,-9.82,0.32,1.36,-0.07,7.91,7.83,23.87
408,0000,28895,-0.24,0.58,-9.80,0.20,1.17,-0.21,7.60,8.48,23.47
409,0000,28916,-0.28,0.57,-9.81,0.65,1.22,-0.07,7.78,8.36,22.83
410,0000,28937,-0.24,0.57,-9.79,0.17,1.35,-0.21,7.98,8.64,22.70
411,0000,28958,-0.23,0.55,-9.77,0.27,1.42,-0.14,7.57,8.21,23.60
412,0000,28979,-0.25,0.54,-9.81,0.28,1.51,-0.08,7.28,8.23,22.49
413,0000,29000,-0.24,0.58,-9.80,0.04,1.61,-0.14,7.67,8.01,22.86
414,0000,29021,-0.27,0.58,-9.81,0.14,1.51,-0.20,7.53,8.21,23.36
415,0000,29042,-0.30,0.57,-9.82,0.08,1.31,-0.13,7.23,8.33,24.14
416,0000,29063,-0.31,0.55,-9.82,0.19,1.50,-0.30,7.37,8.43,23.50
417,0000,29084,-0.28,0.56,-9.82,0.33,1.36,-0.13,7.41,8.40,23.68
418,0000,29105,-0.21,0.55,-9.79,0.14,1.56,-0.17,7.59,8.35,23.50
419,0000,29126,-0.23,0.54,-9.78,-0.10,1.50,-0.14,7.94,8.71,23.63
420,0000,29147,-0.28,0.58,-9.81,0.20,1.56,-0.11,7.54,8.45,23.57
421,0000,29168,-0.27,0.58,-9.83,0.21,1.43,-0.16,7.72,8.67,23.41
422,0000,29189,-0.31,0.56,-9.93,0.28,1.65,-0.32,7.48,8.55,23.34
423,0000,29210,-0.28,0.56,-9.81,0.07,1.44,-0.01,7.45,8.37,23.56
424,0000,29231,-0.24,0.57,-9.82,0.32,1.42,-0.20,8.04,8.24,23.30
425,0000,29252,-0.27,0.56,-9.78,0.13,1.40,-0.03,7.18,9.08,23.12
426,0000,29273,-0.24,0.59,-9.78,0.15,1.51,-0.25,7.80,8.68,23.27
427,0000,29294,-0.27,0.59,-9.78,0.42,1.40,-0.09,7.56,8.59,23.53
428,0000,29315,-0.25,0.57,-9.82,-0.08,1.44,-0.35,7.31,8.75,23.79
429,0000,29336,-0.25,0.57,-9.76,0.25,1.52,-0.10,7.21,8.74,23.25
430,0000,29357,-0.26,0.55,-9.82,-0.05,1.46,-0.35,7.76,8.73,23.00
431,0000,29378,-0.27,0.56,-9.82,0.31,1.29,-0.10,7.66,8.37,22.80
432,0000,29399,-0.26,0.56,-9.80,0.25,1.35,0.08,7.21,8.67,22.77
433,0000,29420,-0.30,0.56,-9.80,0.05,1.49,-0.17,7.21,8.84,23.25
434,0000,29441,-0.23,0.57,-9.80,0.32,1.36,-0.11,7.83,8.49,23.19
435,0000,29462,-0.24,0.56,-9.78,0.25,1.44,0.08,7.10,8.77,22.52
436,0000,29483,-0.26,0.57,-9.79,0.52,1.66,-0.31,7.82,8.87,22.32
437,0000,29504,-0.25,0.57,-9.78,0.20,1.36,-0.22,7.69,8.84,22.86
438,0000,29525,-0.26,0.56,-9.82,0.29,1.51,-0.09,7.07,9.35,23.37
439,0000,29546,-0.26,0.55,-9.81,-0.06,1.43,-0.32,7.64,8.46,22.45
440,0000,29567,-0.26,0.56,-9.83,0.38,1.39,-0.14,7.66,8.89,23.21
441,0000,29588,-0.28,0.58,-9.84,0.28,1.41,-0.20,7.42,8.37,22.67
442,0000,29611,-0.22,0.57,-9.74,0.11,1.35,-0.07,7.98,8.46,22.93
443,0000,29632,-0.26,0.55,-9.81,0.40,1.46,-0.17,7.57,8.56,22.98
444,0000,29653,-0.25,0.56,-9.79,0.31,1.36,-0.08,7.59,8.96,22.43
445,0000,29674,-0.29,0.55,-9.85,0.21,1.45,0.02,7.60,8.48,22.46
446,0000,29695,-0.25,0.58,-9.83,0.36,1.57,-0.07,8.07,8.55,22.73
447,0000,29716,-0.27,0.56,-9.78,0.10,1.34,-0.23,7.69,8.73,22.92
448,0000,29737,-0.21,0.58,-9.79,0.38,1.30,-0.25,7.44,8.35,23.37
449,0000,29758,-0.31,0.58,-9.81,0.15,1.62,0.04,7.60,8.45,22.87
450,0000,29779,-0.22,0.56,-9.79,0.07,1.54,-0.31,7.56,7.80,23.24
451,0000,29800,-0.27,0.56,-9.78,0.12,1.52,0.00,7.63,8.10,22.61
452,0000,29821,-0.26,0.56,-9.82,0.20,1.59,-0.24,7.04,8.43,23.87
453,0000,29842,-0.29,0.55,-9.82,0.22,1.46,-0.02,7.54,8.36,23.12
454,0000,29863,-0.24,0.58,-9.79,0.17,1.50,-0.10,7.66,8.39,23.12
455,0000,29884,-0.28,0.56,-9.84,0.54,1.47,-0.08,7.44,8.46,22.51
456,0000,29905,-0.23,0.56,-9.82,0.22,1.48,0.02,7.60,8.37,23.43
457,0000,29926,-0.27,0.56,-9.81,0.38,1.55,-0.24,7.00,8.32,22.71
458,0000,29947,-0.28,0.57,-9.86,0.49,1.36,-0.10,7.76,8.17,22.95
459,0000,29968,-0.23,0.56,-9.76,0.29,1.18,-0.23,7.70,8.93,22.45
460,0000,29989,-0.29,0.58,-9.82,0.16,1.68,-0.30,7.48,8.49,22.74
461,0000,30010,-0.27,0.55,-9.82,-0.15,1.29,-0.04,7.41,8.78,22.46
462,0000,30031,-0.25,0.53,-9.79,0.17,1.40,-0.26,7.32,8.67,23.18
463,0000,30052,-0.26,0.55,-9.78,0.12,1.45,-0.22,7.16,9.12,23.27
464,0000,30073,-0.27,0.57,-9.81,0.08,1.32,-0.10,7.60,9.25,23.25
465,0000,30094,-0.22,0.57,-9.79,0.36,1.26,-0.13,7.79,8.23,23.47
466,0000,30115,-0.29,0.59,-9.83,0.31,1.56,-0.28,7.34,8.71,23.02
467,0000,30136,-0.23,0.58,-9.78,0.32,1.57,-0.12,7.51,8.65,23.30
468,0000,30157,-0.20,0.54,-9.91,0.19,1.50,0.00,7.13,8.13,23.40
469,0000,30178,-0.29,0.56,-9.83,0.23,1.43,0.01,7.28,8.11,22.73
470,0000,30199,-0.28,0.57,-9.80,0.26,1.28,0.04,7.89,8.30,22.86
471,0000,30220,-0.24,0.59,-9.77,0.31,1.45,-0.21,7.72,8.78,23.55
472,0000,30241,-0.32,0.58,-9.83,0.09,1.50,-0.36,7.19,8.67,24.23
473,0000,30262,-0.28,0.57,-9.76,0.22,1.36,-0.03,7.80,8.70,23.33
474,0000,30283,-0.22,0.57,-9.76,0.49,1.63,-0.18,6.94,8.86,23.31
475,0000,30304,-0.26,0.58,-9.81,0.09,1.47,0.00,7.42,9.11,23.30
476,0000,30325,-0.27,0.58,-9.84,0.29,1.42,-0.10,7.72,8.80,22.99
477,0000,30346,-0.24,0.58,-9.75,-0.01,1.42,-0.24,7.41,8.59,22.83
478,0000,30367,-0.32,0.57,-9.84,0.24,1.49,-0.06,7.67,8.99,23.27
479,0000,30388,-0.29,0.56,-9.82,0.23,1.48,-0.13,7.72,9.09,22.55
480,0000,30409,-0.29,0.54,-9.84,0.06,1.35,0.00,7.44,8.49,21.98
481,0000,30430,-0.19,0.60,-9.76,0.48,1.37,-0.07,7.50,8.61,22.65
482,0000,30451,-0.28,0.58,-9.81,0.10,1.38,-0.32,7.79,8.05,22.01
483,0000,30472,-0.27,0.58,-9.80,0.19,1.43,-0.17,7.45,8.49,22.68
484,0000,30493,-0.26,0.57,-9.84,-0.01,1.49,-0.16,8.13,8.80,23.15
485,0000,30514,-0.21,0.56,-9.80,0.38,1.53,-0.17,7.95,8.16,23.08
486,0000,30535,-0.28,0.56,-9.84,0.20,1.50,-0.38,7.98,8.58,23.15
487,0000,30556,-0.29,0.57,-9.83,0.24,1.35,-0.11,8.35,8.52,23.79
488,0000,30577,-0.22,0.59,-9.76,0.22,1.42,-0.15,7.56,7.64,23.63
489,0000,30598,-0.22,0.56,-9.80,0.11,1.71,0.02,7.50,8.32,22.86
490,0000,30619,-0.27,0.57,-9.79,0.29,1.43,-0.09,7.69,8.33,22.92
491,0000,30640,-0.27,0.53,-9.85,0.14,1.53,-0.25,7.98,8.14,22.89
492,0000,30661,-0.22,0.57,-9.77,0.22,1.31,-0.17,7.56,8.39,23.53
493,0000,30682,-0.28,0.58,-9.81,0.25,1.29,-0.09,8.20,8.48,22.70
494,0000,30703,-0.25,0.56,-9.94,0.19,1.44,-0.10,7.63,8.94,23.12
495,0000,30724,-0.30,0.56,-9.82,0.24,1.52,0.07,7.40,8.56,23.12
496,0000,30745,-0.22,0.59,-9.79,0.10,1.43,0.04,7.70,8.01,23.15
497,0000,30766,-0.27,0.56,-9.83,0.36,1.57,-0.15,7.25,8.99,23.37
498,0000,30787,-0.29,0.57,-9.81,-0.28,1.41,0.10,7.76,8.94,22.99
499,0000,30808,-0.30,0.53,-9.77,0.48,1.52,0.08,7.98,8.23,23.09
500,0000,30829,-0.21,0.57,-9.74,0.00,1.58,-0.10,7.91,8.37,23.21
501,0000,30850,-0.23,0.58,-9.83,0.47,1.49,-0.05,7.82,8.67,22.74
502,0000,30871,-0.27,0.57,-9.81,-0.20,1.53,-0.04,7.66,8.55,22.89
503,0000,30892,-0.24,0.53,-9.80,0.55,1.12,0.00,7.94,8.27,23.90
504,0000,30913,-0.24,0.56,-9.82,0.10,1.35,-0.01,7.50,8.62,23.19
505,0000,30934,-0.25,0.57,-9.78,0.64,1.40,-0.15,7.45,8.83,23.62
506,0000,30957,-0.30,0.55,-9.83,0.08,1.41,-0.19,7.25,8.94,22.60
507,0000,30978,-0.27,0.60,-9.75,0.17,1.28,-0.04,7.64,8.37,23.06
508,0000,30999,-0.20,0.57,-9.79,0.52,1.53,-0.14,7.92,8.32,23.28
509,0000,31020,-0.21,0.58,-9.76,0.31,1.57,0.04,7.69,8.42,23.09
510,0000,31041,-0.29,0.58,-9.80,0.13,1.28,-0.39,7.67,8.32,23.56
511,0000,31062,-0.25,0.57,-9.81,-0.05,1.52,-0.02,7.89,8.23,23.19
512,0000,31083,-0.22,0.54,-9.79,0.30,1.53,0.07,7.79,8.67,23.50
513,0000,31104,-0.32,0.59,-9.88,-0.45,1.60,-0.22,7.66,8.77,23.09
514,0000,31125,-0.32,0.57,-9.80,0.48,1.50,-0.19,7.57,8.18,23.18
515,0000,31146,-0.23,0.55,-9.78,0.25,1.30,-0.04,7.70,8.59,23.79
516,0000,31167,-0.23,0.55,-9.78,0.64,1.22,-0.23,7.47,8.78,22.92
517,0000,31188,-0.29,0.58,-9.84,0.08,1.43,-0.19,7.63,8.36,23.17
518,0000,31209,-0.20,0.61,-9.79,0.52,1.32,-0.07,7.47,8.33,23.15
519,0000,31230,-0.22,0.56,-9.81,0.45,1.50,-0.18,7.50,8.39,23.18
520,0000,31251,-0.23,0.52,-9.80,0.17,1.31,-0.12,7.22,8.49,23.55
521,0000,31272,-0.27,0.53,-9.82,0.12,1.38,-0.01,7.35,8.35,23.78
522,0000,31293,-0.25,0.58,-9.77,0.24,1.52,-0.03,7.50,8.17,23.68
523,0000,31314,-0.27,0.59,-9.81,0.13,1.55,-0.11,8.07,7.82,22.79
524,0000,31335,-0.28,0.56,-9.82,-0.10,1.71,0.17,7.67,8.56,23.09
525,0000,31356,-0.28,0.58,-9.87,0.06,1.63,0.01,7.69,8.10,23.47
526,0000,31377,-0.23,0.60,-9.83,0.23,1.43,-0.18,7.63,8.64,22.87
527,0000,31398,-0.29,0.60,-9.84,0.24,1.45,-0.10,7.80,8.14,23.65
528,0000,31419,-0.28,0.54,-9.78,-0.29,1.28,-0.23,7.64,8.48,23.66
529,0000,31440,-0.23,0.55,-9.78,0.59,1.38,0.00,7.69,8.75,23.79
530,0000,31461,-0.22,0.57,-9.76,0.27,1.20,0.03,8.05,8.08,23.91
531,0000,31482,-0.23,0.56,-9.77,0.31,1.60,-0.09,7.37,8.32,23.72
532,0000,31503,-0.22,0.58,-9.76,-0.20,1.70,-0.13,7.19,8.80,23.05
533,0000,31524,-0.20,0.55,-9.69,-0.05,2.00,0.03,7.56,8.35,23.41
534,0000,31545,-0.32,0.59,-9.77,-0.98,2.35,0.01,7.40,8.81,23.69
535,0000,31566,-0.30,0.56,-9.74,-0.31,2.60,0.02,7.79,8.61,22.64
536,0000,31587,-0.27,0.57,-9.71,-1.76,3.32,-0.03,7.37,8.80,22.93
537,0000,31608,-0.25,0.59,-10.24,-3.00,2.60,-0.06,7.59,8.67,23.40
538,0000,31629,-0.27,0.53,-9.94,3.63,1.20,-0.02,7.89,8.58,23.19
539,0000,31650,-0.42,0.53,-9.61,-0.59,1.56,-0.07,7.97,8.59,22.84
540,0000,31671,-0.35,0.54,-9.86,-0.57,2.06,-0.26,7.73,8.80,23.02
541,0000,31692,-0.26,0.55,-9.75,1.03,2.21,-0.08,7.13,8.90,23.31
542,0000,31713,-0.25,0.55,-9.75,-0.71,1.93,-0.24,7.72,8.78,22.42
543,0000,31734,-0.18,0.58,-9.74,-0.68,2.15,-0.21,8.05,9.00,22.89
544,0000,31755,-0.18,0.59,-9.89,0.04,1.94,0.03,7.28,8.84,23.00
545,0000,31776,-0.33,0.53,-9.78,0.22,1.73,0.17,7.51,7.83,23.72
546,0000,31797,-0.38,0.51,-9.89,-0.73,1.38,0.00,8.07,8.68,23.00
547,0000,31818,-0.34,0.54,-9.75,0.73,1.65,0.07,8.07,8.77,23.25
548,0000,31839,-0.34,0.54,-9.92,-0.44,1.45,-0.02,7.63,9.05,23.30
549,0000,31860,-0.28,0.50,-9.77,0.10,1.53,0.05,7.79,8.21,23.27
550,0000,31881,-0.20,0.52,-9.73,0.90,1.48,-0.06,7.79,8.84,22.77
551,0000,31902,-0.20,0.54,-9.73,-0.36,1.71,-0.03,7.44,8.65,23.56
552,0000,31923,-0.24,0.57,-9.82,-0.14,1.66,-0.10,7.98,8.48,23.27
553,0000,31944,-0.23,0.53,-9.81,0.17,1.50,0.17,8.20,8.30,22.81
554,0000,31965,-0.25,0.52,-9.69,0.44,1.84,0.00,7.66,8.74,23.18
555,0000,31986,-0.36,0.48,-9.89,-0.87,1.85,-0.05,7.67,9.37,23.22
556,0000,32007,-0.39,0.52,-9.96,-0.30,1.32,-0.19,7.67,8.65,23.27
557,0000,32028,-0.31,0.53,-9.79,0.66,1.24,-0.02,8.16,8.97,23.14
558,0000,32049,-0.32,0.54,-9.87,-0.61,1.29,-0.15,7.56,8.33,23.05
559,0000,32070,-0.28,0.55,-9.68,1.21,1.46,0.20,7.79,8.89,23.50
560,0000,32091,-0.23,0.57,-9.84,-1.31,1.58,0.10,7.31,9.08,23.33
561,0000,32112,-0.21,0.52,-9.45,2.00,1.93,0.04,7.51,8.80,23.74
562,0000,32133,-0.27,0.56,-9.93,-2.26,1.62,-0.18,7.61,8.20,23.68
563,0000,32154,-0.38,0.53,-9.80,1.37,1.38,-0.11,7.64,8.74,23.50
564,0000,32175,-0.35,0.51,-9.68,-1.00,1.82,-0.09,7.91,8.62,23.30
565,0000,32196,-0.38,0.51,-9.74,0.30,2.25,0.21,7.88,8.54,23.84
566,0000,32217,-0.27,0.51,-9.96,0.19,1.99,-0.10,7.56,9.25,23.49
567,0000,32238,-0.26,0.54,-9.83,-0.81,1.92,-0.14,7.42,9.15,23.53
568,0000,32259,-0.27,0.55,-9.89,0.38,1.37,-0.05,7.29,8.87,22.86
569,0000,32282,-0.34,0.55,-9.79,1.13,1.38,-0.04,7.38,9.21,23.27
570,0000,32303,-0.32,0.51,-9.81,-0.03,1.27,0.12,6.97,9.16,23.28
571,0000,32324,-0.35,0.48,-9.78,-0.40,1.37,-0.10,7.04,9.19,22.96
572,0000,32345,-0.24,0.50,-9.79,1.00,1.27,-0.02,7.73,8.89,23.57
573,0000,32366,-0.33,0.55,-9.79,0.33,1.60,-0.10,7.03,9.00,23.37
574,0000,32387,-0.30,0.56,-9.75,-0.15,1.57,0.04,7.92,9.18,23.41
575,0000,32408,-0.23,0.54,-9.80,-0.40,1.78,-0.10,7.66,9.32,23.30
576,0000,32429,-0.28,0.51,-9.77,0.42,1.55,0.04,7.57,9.09,23.66
577,0000,32450,-0.32,0.53,-9.85,-0.09,1.62,-0.08,7.67,9.09,22.67
578,0000,32471,-0.32,0.57,-9.80,0.04,1.58,-0.19,7.78,9.59,23.31
579,0000,32492,-0.31,0.53,-9.83,0.04,1.27,-0.10,7.25,8.67,23.90
580,0000,32513,-0.38,0.50,-9.80,0.85,1.19,-0.10,7.98,9.00,23.43
581,0000,32534,-0.34,0.49,-9.83,-0.11,1.49,-0.02,7.25,8.94,22.45
582,0000,32555,-0.25,0.48,-9.77,0.21,1.52,0.04,7.26,8.84,22.65
583,0000,32576,-0.27,0.55,-9.78,0.15,1.61,-0.10,7.34,8.29,23.22
584,0000,32597,-0.31,0.55,-9.80,0.46,1.54,-0.15,7.21,8.77,23.44
585,0000,32618,-0.26,0.53,-9.75,-0.14,1.57,-0.34,7.16,9.03,23.06
